z,ObjID,cmodelMag_u,cmodelMag_r,ra,dec,absMagR
0.02958624,1237651821637533941,19.91118,16.57569,220.261674456322,3.29212503699814,-19.3166
0.02834911,1237668349212557463,19.003,17.47226,221.604689886503,13.9149165880084,-17.3091
0.02925864,1237651822173618188,16.4886,13.95318,218.451424384198,3.95687494304919,-22.1115
0.02941533,1237651822173618253,17.84715,14.90311,218.506135558115,3.79743323888252,-22.0864
0.02953573,1237651822173618264,20.99209,18.06257,218.525625235291,3.77359588868802,-19.0622
0.02856065,1237651823248277689,18.3734,16.9889,220.711499561649,4.53430738709358,-17.6024
0.02880625,1237652599027531907,24.80344,19.4774,319.502171069051,-7.50797170791786,-19.4456
0.02854517,1237652600097341599,16.58238,14.23466,310.552844888519,-5.57858925516203,-21.3479
0.0283609,1237667254015098900,16.97563,14.84235,183.145932830551,29.8275614132633,-21.5201
0.02894858,1237652600103895229,18.11493,16.65312,325.489081555232,-7.44424219518473,-18.0519
0.02963959,1237652900765761758,18.13657,15.84658,40.7740392549854,-8.13340115810846,-20.6821
0.02891102,1237652900765761774,19.04387,17.66635,40.7741433979443,-7.98159574423157,-18.8776
0.0283281,1237674650462781694,18.59757,17.68442,173.61088147656,0.101869192458288,-16.9819
0.02918951,1237648704600015406,19.01196,17.46229,235.77162368311,0.0495747020027722,-17.9043
0.02878145,1237652946378424411,18.1971,16.69351,0.625884243796662,-10.901847634427,-18.0331
0.02848496,1237653652919156841,17.82189,15.52968,24.7579009671535,14.9690514747421,-20.8154
0.02870126,1237657612875399210,15.92631,13.81653,173.85327653832,57.6500369491067,-23.3462
0.02939416,1237649918963810522,18.91432,17.24479,10.4274505098955,14.3001735224053,-17.968
0.02889983,1237657628451405998,17.01442,15.66691,170.199776583992,50.8142382524287,-19.1628
0.02859413,1237654880740638942,17.81535,15.94727,223.250323791956,4.34089916520983,-20.0061
0.02228491,1237661139030310970,16.34878,14.80094,144.380408351487,35.5908302362522,-21.734
0.02165614,1237668296601043201,19.00195,17.19649,203.13552739308,17.9614545521068,-17.8877
0.02210829,1237661139030835345,18.97435,17.64231,145.689583330867,36.0451959015631,-16.8716
0.02202492,1237661139030835358,18.92327,17.59475,145.645379746323,36.2448121652798,-18.1285
0.02181673,1237652942094663962,19.24514,17.78186,343.835876993421,13.0853639526202,-17.2375
0.02231575,1237664852033208486,17.25723,16.04528,214.213552887149,32.8028939695214,-18.114
0.02198501,1237654031402991628,19.21111,17.6931,173.024270260682,3.56232914515394,-16.7623
0.02220334,1237662529534034319,18.67208,17.55944,225.102130996255,11.1813637768028,-16.3186
0.02181608,1237662530599780422,16.57969,14.69716,206.712439596102,14.4151547079617,-20.2007
0.02189291,1237662531133833449,18.61713,17.22742,200.042232128814,15.4054498247131,-17.4678
0.02197843,1237662636908871743,17.40636,16.44445,232.146188756433,10.1810787896357,-17.8783
0.02167701,1237661069248561304,17.42235,15.71594,150.704761340072,12.1608259242434,-18.7521
0.02226095,1237655123930710271,18.69875,17.11758,173.571636837425,3.8415070745841,-18.2659
0.02295112,1237655125555085390,15.79494,13.68655,205.113281089292,4.77379611771795,-24.1681
0.02203832,1237664871362527399,17.84741,16.21219,147.237781493528,33.0432753217629,-18.8626
0.02169159,1237667322184597640,17.18842,15.4355,188.370690203073,26.7380413269439,-20.4405
0.02223609,1237655500275581239,18.54465,17.63247,204.880080463814,-1.27924129035015,-16.4362
0.02232627,1237664878346174524,18.57405,17.3379,159.860166840896,34.2910459308825,-17.5488
0.02168365,1237665440442941527,16.34958,13.68589,197.113678620861,28.3204948632235,-23.1335
0.02203844,1237664879414345820,18.27377,16.96023,145.217831602889,30.9387958270456,-18.1097
0.0218854,1237660772883365911,16.48444,15.33237,152.602523026338,39.9237444321009,-18.3804
0.02231883,1237665440979353636,17.62826,15.15717,195.925868171383,28.9055153195285,-20.9213
0.02203402,1237661971728826533,16.10941,14.24932,199.797594475379,7.43078732707589,-21.6181
0.02189322,1237665026522349588,19.96288,17.38622,203.62760879807,34.6592313409262,-19.9444
0.02178901,1237661976011669775,18.78763,17.65732,188.163769068785,7.89178439221238,-19.1322
0.02161592,1237667446192537887,18.01259,15.69088,183.938510740993,24.0696997198274,-20.7167
0.0223203,1237658300604809433,19.05982,17.03327,151.544970543821,7.22589824258799,-18.4196
0.02213292,1237665441515503721,17.29259,15.05149,194.084439166404,29.300138686024,-20.7969
0.022205,1237665126950109347,17.11361,14.68435,228.53425464019,25.6996255047096,-21.6292
0.02188756,1237665442054013026,17.09616,15.2086,198.506033432664,29.4069973948895,-21.5033
0.02218138,1237658492271984939,16.58756,14.85097,162.996709736567,8.94486893515697,-20.8402
0.02218948,1237665129631842575,17.83981,15.93174,223.09529346013,29.8908711247605,-21.5201
0.02218585,1237658492800860266,17.20324,14.55399,144.551124320494,7.72777823091861,-22.5227
0.02194935,1237665225693921343,17.06632,14.75656,182.579380525225,31.5501086524676,-20.8889
0.02160245,1237662238008803396,17.17526,14.6238,197.827050206832,10.0814962612144,-21.6823
0.02201135,1237662238551113804,16.44768,13.75784,210.433852279076,9.86839310252017,-22.1342
